Event,Room,Category,Color_x,TimeSlot,Utility,Color_y,Data Value
Anime Squares – The Ultimate Otaku Trivia Showdown!,"('Hynes', 'Panel 310')",Gameshow,#72B7ED,"['18:00', '18:15', '18:30', '18:45']",7.0,#72B7ED,13.0
BL Bang Marry Kill,"('Hynes', 'Panel 207')",Fan Content,#FF69B4,"['17:00', '17:15', '17:30', '17:45']",5.0,#FF69B4,60.0
BLUE ENCOUNT & Reol Concert,"('Hynes', 'Memorial Auditorium')",Concert,#AFE1F1,"['20:00', '20:15', '20:30', '20:45', '21:00', '21:15', '21:30', '21:45']",7.0,#AFE1F1,45.0
Beyond Gundam: The Amazing Yoshiyuki Tomino,"('Hynes', 'Panel 208')",Anime,#FFFF00,"['14:30', '14:45', '15:00', '15:15']",4.0,#FFFF00,76.0
Caitlin Glass Q&A,"('Sheraton', 'Panel Constitution A')",Guest Content,#00FF00,"['14:30', '14:45', '15:00', '15:15']",5.0,#00FF00,58.0
Charity Ball,"('Hynes', 'Ballroom A')",Social Event,#F7931E,"['16:30', '16:45', '17:00', '17:15', '17:30', '17:45', '18:00', '18:15', '18:30', '18:45', '19:00', '19:15']",5.0,#F7931E,50.0
Circus Spectacular,"('Hynes', 'Ballroom B')",Family Friendly,#A64FF7,"['15:30', '15:45', '16:00', '16:15']",5.0,#A64FF7,56.0
Con Survival: How to Make the Most Out of Cons,"('Hynes', 'Panel 207')",Con Culture,#00FFFF,"['11:00', '11:15', '11:30', '11:45']",5.0,#00FFFF,82.0
Connecting the Borders: A ClariS Fan Panel,"('Sheraton', 'Panel Constitution B')",Music,#CCFFFF,"['23:00', '23:15', '23:30', '23:45']",6.0,#CCFFFF,67.0
Cosplay Bingo,"('Hynes', 'Events 302')",Family Friendly,#A64FF7,"['11:00', '11:15', '11:30', '11:45']",5.0,#A64FF7,56.0
Cosplay Death Match,"('Hynes', 'Memorial Auditorium')",Stage Show,#AFE1F1,"['13:00', '13:15', '13:30', '13:45', '14:00', '14:15', '14:30', '14:45']",6.0,#AFE1F1,47.0
Cosplay In Character Contest - Qualifiers,"('Hynes', 'Ballroom B')",Stage Show,#AFE1F1,"['19:00', '19:15', '19:30', '19:45']",6.0,#AFE1F1,47.0
Creator Spotlight,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['12:00', '12:15', '12:30', '12:45']",4.0,#66A3D2,1.0
Dark Horse: Eizouken: Before and Beyond the Anime,"('Hynes', 'Panel 207')",Industry Content,#55ED99,"['18:30', '18:45', '19:00', '19:15']",5.0,#55ED99,59.0
Embracing the Uncertainty of World Building,"('Sheraton', 'Panel Republic')",Arts and Crafting,#CC99FF,"['19:30', '19:45', '20:00', '20:15']",5.0,#CC99FF,63.0
Enamel Pins 101: Drawing and Producing Portable Artwork,"('Hynes', 'Panel 202')",Partner Content,#FF69B4,"['21:00', '21:15', '21:30', '21:45']",5.0,#FF69B4,61.0
Fandom Obasan- 25 Years of BL fandom,"('Hynes', 'Panel 309')",Fan Content,#FF69B4,"['22:00', '22:15', '22:30', '22:45']",5.0,#FF69B4,60.0
Form and Fashion: The World of DIY and Alterations in Lolita Fashion,"('Hynes', 'Panel 202')",Fashion,#CC99FF,"['12:00', '12:15', '12:30', '12:45']",5.0,#CC99FF,66.0
Formal Ball Dance Lessons,"('Hynes', 'Ballroom A')",Dance,#CCFFFF,"['15:30', '15:45', '16:00', '16:15']",8.0,#CCFFFF,68.0
Free Will and Determinism in Anime,"('Hynes', 'Panel 202')",Panel,#72B7ED,"['09:00', '09:15', '09:30', '09:45']",6.0,#72B7ED,48.0
From Screen to Kitchen: Adapting Existing Worlds into Recipes,"('Hynes', 'Panel 310')",Panel,#72B7ED,"['09:00', '09:15', '09:30', '09:45']",6.0,#72B7ED,48.0
Girls Band Panel: Celebrating 10 Years of BanG Dream!,"('Hynes', 'Panel 202')",Anime,#FFFF00,"['15:00', '15:15', '15:30', '15:45']",4.0,#FFFF00,76.0
Godzilla: 70 Years Strong,"('Hynes', 'Panel 309')",History,#CCFFCC,"['18:30', '18:45', '19:00', '19:15', '19:30', '19:45']",5.0,#CCFFCC,78.0
Guess That Anime,"('Hynes', 'Panel 309')",Fan Content,#FF69B4,"['15:30', '15:45', '16:00', '16:15']",5.0,#FF69B4,60.0
